sample_id,prediction
1/1,0.2689414322376251
1/2,0.2689414322376251
1/6,0.2689414322376251
1/7,0.2689414322376251
1/8,0.2689414322376251
2/2,0.2689414322376251
2/3,0.2689414322376251
2/4,0.2689414322376251
2/5,0.2689414322376251
2/9,0.2689414322376251
3/1,0.2689414322376251
3/2,0.2689414322376251
3/6,0.2689414322376251
3/7,0.2689414322376251
3/8,0.2689414322376251
4/3,0.2689414322376251
4/4,0.2689414322376251
4/5,0.2689414322376251
4/6,0.2689414322376251
4/8,0.2689414322376251
5/1,0.2689414322376251
5/3,0.2689414322376251
5/6,0.2689414322376251
5/8,0.2689414322376251
5/9,0.2689414322376251
6/1,0.2689414322376251
6/4,0.2689414322376251
6/5,0.2689414322376251
6/7,0.2689414322376251
6/8,0.2689414322376251
7/0,0.2689414322376251
7/1,0.2689414322376251
7/3,0.49991878867149353
7/7,0.2689414322376251
7/9,0.2689414322376251
8/3,0.2689414322376251
8/4,0.2689414322376251
8/5,0.2689414322376251
8/6,0.2689414322376251
8/9,0.2689414322376251
9/2,0.2689414322376251
9/3,0.2689414322376251
9/6,0.2689414322376251
9/8,0.2689414322376251
9/9,0.2689414322376251
10/1,0.2689414322376251
10/2,0.2689414322376251
10/6,0.2689414322376251
10/7,0.2689414322376251
10/9,0.2689414322376251
11/1,0.2689414322376251
11/4,0.2689414322376251
11/5,0.2689414322376251
11/7,0.2689414322376251
11/8,0.2689414322376251
12/1,0.2689414322376251
12/3,0.2689414322376251
12/4,0.2689414322376251
12/7,0.2689414322376251
12/9,0.2689414322376251
13/3,0.2689414322376251
13/5,0.2689414322376251
13/7,0.2689414322376251
13/8,0.2689414322376251
13/9,0.2689414322376251
14/2,0.2689414322376251
14/4,0.2689414322376251
14/5,0.2689414322376251
14/6,0.2689414322376251
14/8,0.2689414322376251
15/1,0.2689414322376251
15/5,0.2689414322376251
15/6,0.2689414322376251
15/7,0.2689414322376251
15/8,0.2689414322376251
16/1,0.2689414322376251
16/2,0.2689414322376251
16/3,0.2689414322376251
16/8,0.2689414322376251
16/9,0.2689414322376251
17/4,0.2689414322376251
17/5,0.2689414322376251
17/6,0.2689414322376251
17/7,0.2689414322376251
17/8,0.2689414322376251
18/0,0.2689414322376251
18/1,0.2689414322376251
18/3,0.2689414322376251
18/6,0.2689414322376251
18/9,0.2689414322376251
19/0,0.2689414322376251
19/1,0.2689414322376251
19/2,0.2689414322376251
19/3,0.2689414322376251
19/4,0.2689414322376251
19/6,0.2689414322376251
19/7,0.2689414322376251
19/8,0.2689414322376251
19/9,0.7310585975646973
20/0,0.2689414322376251
20/2,0.2689414322376251
20/5,0.2689414322376251
20/6,0.2689414322376251
20/8,0.2689414322376251
21/1,0.2689414322376251
21/3,0.2689414322376251
21/5,0.2689414322376251
21/6,0.2689414322376251
21/8,0.2689414322376251
22/1,0.2689414322376251
22/2,0.2689414322376251
22/4,0.2689414322376251
22/8,0.2689414322376251
22/9,0.2689414322376251
23/0,0.2689414322376251
23/1,0.2689414322376251
23/5,0.2689414322376251
23/6,0.2689414322376251
23/8,0.2689414322376251
24/0,0.2689414322376251
24/4,0.2689414322376251
24/5,0.2689414322376251
24/7,0.2689414322376251
24/9,0.2689414322376251
25/0,0.2689414322376251
25/1,0.2689414322376251
25/3,0.2689414322376251
25/6,0.2689414322376251
25/9,0.2689414322376251
26/0,0.2689414322376251
26/1,0.2689414322376251
26/7,0.2689414322376251
26/8,0.2689414322376251
26/9,0.2689414322376251
27/0,0.7310585975646973
27/2,0.2689414322376251
27/6,0.2689414322376251
27/7,0.2689414322376251
27/9,0.2689414322376251
28/0,0.2689414322376251
28/3,0.2689414322376251
28/4,0.2689414322376251
28/7,0.2689414322376251
28/9,0.2689414322376251
29/0,0.2689414322376251
29/1,0.2689414322376251
29/2,0.2689414322376251
29/5,0.2689414322376251
29/9,0.2689414322376251
30/1,0.2689414322376251
30/2,0.2689414322376251
30/3,0.2689414322376251
30/4,0.2689414322376251
30/8,0.500713586807251
31/0,0.7310585975646973
31/1,0.2689414322376251
31/2,0.2689414322376251
31/3,0.2689414322376251
31/4,0.7310585975646973
31/5,0.2689414322376251
31/6,0.2689414322376251
31/8,0.2689414322376251
