sample_id,prediction
1/1,0.2689414322376251
1/2,0.2689414322376251
1/6,0.26894286274909973
1/7,0.2689414322376251
1/8,0.27088749408721924
2/2,0.26957762241363525
2/3,0.2689439058303833
2/4,0.2694952189922333
2/5,0.26897433400154114
2/9,0.2710438668727875
3/1,0.26896604895591736
3/2,0.2689487040042877
3/6,0.27117857336997986
3/7,0.27237311005592346
3/8,0.27308693528175354
4/3,0.2689621150493622
4/4,0.2689414322376251
4/5,0.2689414322376251
4/6,0.2691788971424103
4/8,0.2689414322376251
5/1,0.2689414322376251
5/3,0.2689414322376251
5/6,0.2689414322376251
5/8,0.2689414322376251
5/9,0.26894161105155945
6/1,0.2689414322376251
6/4,0.2689414322376251
6/5,0.2689414322376251
6/7,0.2689414322376251
6/8,0.2689414322376251
7/0,0.2689414322376251
7/1,0.2689414322376251
7/3,0.7310585975646973
7/7,0.4121619760990143
7/9,0.2689414322376251
8/3,0.7310538291931152
8/4,0.2689414322376251
8/5,0.2689414322376251
8/6,0.26904991269111633
8/9,0.2689414322376251
9/2,0.7310585975646973
9/3,0.7310585975646973
9/6,0.2689414322376251
9/8,0.2689414322376251
9/9,0.2689414322376251
10/1,0.2689414322376251
10/2,0.27525898814201355
10/6,0.2689414322376251
10/7,0.2689421474933624
10/9,0.7310585975646973
11/1,0.2689414322376251
11/4,0.2689414322376251
11/5,0.26894187927246094
11/7,0.2689414322376251
11/8,0.26961928606033325
12/1,0.2689414322376251
12/3,0.2705192267894745
12/4,0.26894164085388184
12/7,0.2689414322376251
12/9,0.2689414322376251
13/3,0.2689414322376251
13/5,0.2793940007686615
13/7,0.2689414322376251
13/8,0.27047041058540344
13/9,0.2689414322376251
14/2,0.2689414322376251
14/4,0.2689414322376251
14/5,0.2689414322376251
14/6,0.269075483083725
14/8,0.2689414322376251
15/1,0.2689414322376251
15/5,0.2689414322376251
15/6,0.2689498960971832
15/7,0.2689438760280609
15/8,0.2689414322376251
16/1,0.2689414322376251
16/2,0.2689414322376251
16/3,0.2689414620399475
16/8,0.2689414322376251
16/9,0.2689414322376251
17/4,0.2689414322376251
17/5,0.2689414322376251
17/6,0.2689414322376251
17/7,0.2689419686794281
17/8,0.2725619077682495
18/0,0.2689414322376251
18/1,0.2689414322376251
18/3,0.33266815543174744
18/6,0.2689414322376251
18/9,0.2689434289932251
19/0,0.2689414322376251
19/1,0.2689414322376251
19/2,0.268941730260849
19/3,0.2690751552581787
19/4,0.2689434885978699
19/6,0.29563018679618835
19/7,0.7310585975646973
19/8,0.2689442038536072
19/9,0.7310585975646973
20/0,0.2689528167247772
20/2,0.26894477009773254
20/5,0.2689414322376251
20/6,0.2689414322376251
20/8,0.2689414322376251
21/1,0.2722042500972748
21/3,0.2689414322376251
21/5,0.2689494788646698
21/6,0.7310585975646973
21/8,0.2689414322376251
22/1,0.2689414322376251
22/2,0.2689414322376251
22/4,0.26894357800483704
22/8,0.2715480625629425
22/9,0.2690378427505493
23/0,0.26894786953926086
23/1,0.26899638772010803
23/5,0.26894211769104004
23/6,0.2689414322376251
23/8,0.26894450187683105
24/0,0.27397894859313965
24/4,0.2689414322376251
24/5,0.2689414322376251
24/7,0.2689414322376251
24/9,0.2689414322376251
25/0,0.2689414322376251
25/1,0.2689414322376251
25/3,0.2689414322376251
25/6,0.2689414322376251
25/9,0.2689414322376251
26/0,0.2689414322376251
26/1,0.26894161105155945
26/7,0.2691832482814789
26/8,0.2689414322376251
26/9,0.2689414322376251
27/0,0.7310585975646973
27/2,0.27946868538856506
27/6,0.2689414322376251
27/7,0.26896676421165466
27/9,0.26894232630729675
28/0,0.2716584801673889
28/3,0.26897260546684265
28/4,0.41550689935684204
28/7,0.2689414322376251
28/9,0.2689414322376251
29/0,0.4005699157714844
29/1,0.5272700786590576
29/2,0.2689414322376251
29/5,0.26894664764404297
29/9,0.2689414322376251
30/1,0.2689426839351654
30/2,0.7310585975646973
30/3,0.2689445912837982
30/4,0.26894494891166687
30/8,0.7310585975646973
31/0,0.7310585975646973
31/1,0.26894187927246094
31/2,0.268941730260849
31/3,0.5047052502632141
31/4,0.7310585975646973
31/5,0.7310585975646973
31/6,0.2689414322376251
31/8,0.2689414322376251
